Epoch 229/1500: Actor=2.5456111755371094, Critic=0.10565163350105286
Epoch 230/1500: Actor=2.5397572479248045, Critic=0.09888486504554748
Epoch 231/1500: Actor=2.525804161071777, Critic=0.10191389560699463
Epoch 232/1500: Actor=2.499843780517578, Critic=0.09944843077659607
Epoch 233/1500: Actor=2.5088616256713867, Critic=0.10093975234031677
Epoch 234/1500: Actor=2.502662498474121, Critic=0.10517544364929199
Epoch 235/1500: Actor=2.5217900848388672, Critic=0.10017578625679016
Epoch 236/1500: Actor=2.506375244140625, Critic=0.0964783079624176
Epoch 237/1500: Actor=2.4779272079467773, Critic=0.09833169174194335
Epoch 238/1500: Actor=2.4758427886962893, Critic=0.10036411905288696
Epoch 239/1500: Actor=2.487278854370117, Critic=0.10471736216545105
Epoch 240/1500: Actor=2.454808151245117, Critic=0.10184966325759888
Epoch 241/1500: Actor=2.4132115097045896, Critic=0.09512367367744445
Epoch 242/1500: Actor=2.441645866394043, Critic=0.09652734565734863
Epoch 243/1500: Actor=2.4569641342163084, Critic=0.10251908564567566
Epoch 244/1500: Actor=2.434000038146973, Critic=0.10157288146018982
Epoch 245/1500: Actor=2.4452994155883787, Critic=0.09752867603302003
Epoch 246/1500: Actor=2.4057173233032225, Critic=0.09384988570213318
Epoch 247/1500: Actor=2.4017602462768552, Critic=0.09932742965221406
Epoch 248/1500: Actor=2.4086877212524413, Critic=0.09618052113056183
Epoch 249/1500: Actor=2.411775489807129, Critic=0.09620513343811035
Epoch 250/1500: Actor=2.4076480865478516, Critic=0.1022363052368164
Epoch 251/1500: Actor=2.3952878189086912, Critic=0.09387443828582763
Epoch 252/1500: Actor=2.399945053100586, Critic=0.09834378743171691
Epoch 253/1500: Actor=2.387362121582031, Critic=0.09697934293746949
Epoch 254/1500: Actor=2.3769407806396483, Critic=0.09996548795700073
Epoch 255/1500: Actor=2.3646132431030273, Critic=0.09705070066452026
Epoch 256/1500: Actor=2.371698226928711, Critic=0.09179773271083831
Epoch 257/1500: Actor=2.3320245056152342, Critic=0.09759704208374023
Epoch 258/1500: Actor=2.360167205810547, Critic=0.08687012135982514
Epoch 259/1500: Actor=2.3279121856689455, Critic=0.09508033561706543
Epoch 260/1500: Actor=2.3540786056518557, Critic=0.09445703780651092
Epoch 261/1500: Actor=2.3145295791625977, Critic=0.09623105990886688
Epoch 262/1500: Actor=2.315824851989746, Critic=0.0891082603931427
Epoch 263/1500: Actor=2.2984250564575195, Critic=0.08742412281036377
Epoch 264/1500: Actor=2.3197625350952147, Critic=0.09347108817100525
Epoch 265/1500: Actor=2.318939468383789, Critic=0.092712007522583
Epoch 266/1500: Actor=2.324813133239746, Critic=0.09461499679088592
Epoch 267/1500: Actor=2.2742262649536134, Critic=0.09447138094902038
Epoch 268/1500: Actor=2.297549354553223, Critic=0.09258230638504028
Epoch 269/1500: Actor=2.309872482299805, Critic=0.09221019101142883
Epoch 270/1500: Actor=2.3082423934936522, Critic=0.09661468029022217
Epoch 271/1500: Actor=2.293512062072754, Critic=0.08890558767318725
Epoch 272/1500: Actor=2.2997253341674804, Critic=0.09161423921585082
Epoch 273/1500: Actor=2.2677092819213867, Critic=0.09110518682003022
Epoch 274/1500: Actor=2.2598884048461914, Critic=0.09127455401420594
Epoch 275/1500: Actor=2.249307773590088, Critic=0.09237510132789611
Epoch 276/1500: Actor=2.2880119705200195, Critic=0.09614956557750702
Epoch 277/1500: Actor=2.266541862487793, Critic=0.09073337924480439
Epoch 278/1500: Actor=2.220078453063965, Critic=0.09382401204109192
Epoch 279/1500: Actor=2.271645553588867, Critic=0.09175839281082153
Epoch 280/1500: Actor=2.2203922271728516, Critic=0.08661805486679078
Epoch 281/1500: Actor=2.2269719009399416, Critic=0.09546467006206512
Epoch 282/1500: Actor=2.261678237915039, Critic=0.09283163952827454
Epoch 283/1500: Actor=2.2453003692626954, Critic=0.09021519351005554
Epoch 284/1500: Actor=2.234174819946289, Critic=0.086905113697052
Epoch 285/1500: Actor=2.227866817474365, Critic=0.09248195886611939
Epoch 286/1500: Actor=2.214924186706543, Critic=0.08241664779186249
Epoch 287/1500: Actor=2.2279956741333007, Critic=0.0880562196969986
Epoch 288/1500: Actor=2.2071884269714355, Critic=0.08830699396133423
Epoch 289/1500: Actor=2.2218782958984375, Critic=0.0870190714597702
Epoch 290/1500: Actor=2.1999290390014647, Critic=0.08266088342666626
Epoch 291/1500: Actor=2.1697234649658204, Critic=0.08848841762542725
Epoch 292/1500: Actor=2.195378349304199, Critic=0.09020633900165557
Epoch 293/1500: Actor=2.1868024597167968, Critic=0.08221887791156769
Epoch 294/1500: Actor=2.2061399879455568, Critic=0.08701019358634948
Epoch 295/1500: Actor=2.162629131317139, Critic=0.09024178779125214
Epoch 296/1500: Actor=2.1719489936828613, Critic=0.08983035099506378
Epoch 297/1500: Actor=2.1797804412841795, Critic=0.08664618229866028
Epoch 298/1500: Actor=2.166341827392578, Critic=0.0910009093284607
Epoch 299/1500: Actor=2.198426284790039, Critic=0.09069997811317444
Epoch 300/1500: Actor=2.153275535583496, Critic=0.08617367339134216
Epoch 301/1500: Actor=2.1668659019470216, Critic=0.08267608404159546
Epoch 302/1500: Actor=2.1538438758850096, Critic=0.08973933982849121
Epoch 303/1500: Actor=2.160050464630127, Critic=0.08791427659988403
Epoch 304/1500: Actor=2.1506506805419923, Critic=0.08796895289421082
Epoch 305/1500: Actor=2.1597567253112793, Critic=0.0882643562555313
Epoch 306/1500: Actor=2.1641399040222167, Critic=0.08963214206695556
Epoch 307/1500: Actor=2.1383021659851074, Critic=0.08566251921653747
Epoch 308/1500: Actor=2.1179625663757324, Critic=0.08991833877563477
Epoch 309/1500: Actor=2.1430440063476563, Critic=0.08758991575241089
Epoch 310/1500: Actor=2.1300924949645994, Critic=0.0880619866847992
Epoch 311/1500: Actor=2.1262693099975585, Critic=0.08901875972747803
Epoch 312/1500: Actor=2.14633678817749, Critic=0.0886228779554367
Epoch 313/1500: Actor=2.097134494781494, Critic=0.08745326888561249
Epoch 314/1500: Actor=2.1214084091186525, Critic=0.08386031317710876
